veredicto,sector,partido,promesa,verbo,plazo,justificacion,obstaculos,condiciones_para_viabilidad,fuentes
Se puede ejecutar,medioambiente,Somos Perú,"Se implementarán operativos permanentes de limpieza, fiscalización, recuperación de espacios degradados, y fortalecimiento operativo en zonas comerciales y turísticas.",se implementarán,Sin plazo definido,"La promesa se ubica dentro de competencias municipales ya reconocidas a la MML: la Ley 27972 permite a las municipalidades provinciales proveer el servicio de limpieza pública y fiscalizar el aseo, higiene y salubridad en establecimientos comerciales y lugares públicos locales; además, el artículo 80 y concordantes habilitan la fiscalización y control ambiental local. En el ámbito metropolitano, el ROF de la MML aprobado por Ordenanza 2537 y la normativa metropolitana de residuos sólidos le asignan funciones de supervisión, fiscalización y prestación del servicio de limpieza pública en el Cercado de Lima y coordinación metropolitana, por lo que “operativos permanentes” de limpieza, fiscalización y recuperación de espacios degradados encajan en sus atribuciones ordinarias. No se aprecia, en la información disponible, una exigencia de nueva ordenanza, ajuste del PIA/PIM o presupuesto adicional indispensable para iniciar la medida, aunque su intensidad dependerá de la priorización operativa del pliego 150101 y de la ejecución de sus unidades competentes.",Limitación operativa y de cobertura por el bajo espacio fiscal del pliego 150101; la sostenibilidad de operativos permanentes puede verse restringida por la inversión per cápita históricamente baja y por la necesidad de coordinación con municipalidades distritales en zonas fuera de competencia directa metropolitana.,,Ley N.° 27972 - Ley Orgánica de Municipalidades: https://www.mef.gob.pe/es/normatividad/por-temas/descentralizacion/6838-ley-n-27972-1/file | Ordenanza N.° 2537 - ROF de la MML: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Ordenanza metropolitana de gestión integral de residuos sólidos: https://busquedas.elperuano.pe/dispositivo/NL/2138496-4 | Portal de transparencia de la MML: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D
Se puede ejecutar,medioambiente,Visión Perú,"Durante los primeros cien días de gestión, se realizará un diagnóstico metropolitano de puntos críticos de basura y desmonte, identificando zonas de acumulación recurrente, responsables operativos, rutas de recojo, horarios deficientes y zonas con mayor riesgo sanitario.",realizará,primeros cien días de gestión,"La promesa se encuadra en competencias ya reconocidas a la Municipalidad Metropolitana de Lima en residuos sólidos y limpieza pública: la Ley 27972 atribuye a las municipalidades provinciales la regulación y control de la disposición final de desechos sólidos y la administración del servicio de limpieza pública y tratamiento de residuos sólidos cuando corresponda, así como la supervisión y fiscalización del servicio en su jurisdicción. El ROF de la MML aprobado por Ordenanza 2537 asigna estas funciones a sus órganos de línea vinculados a servicios a la ciudad y fiscalización, por lo que un diagnóstico metropolitano de puntos críticos, rutas, horarios y riesgo sanitario puede elaborarse como acción interna de gestión sin requerir nueva competencia. La ejecución no depende de una ordenanza nueva ni de un ajuste presupuestal específico para ser iniciada en los primeros cien días, porque se trata de un producto técnico de diagnóstico y monitoreo dentro de las funciones ordinarias del pliego 150101. El límite es operativo, no jurídico: deberá apoyarse en información de campo, supervisión y coordinación interna con distritos y operadores ya vinculados al servicio.","La precisión del diagnóstico depende de acceso oportuno a información operativa de distritos y operadores, y de capacidad de supervisión con el presupuesto corriente del pliego 150101; no se advierte una prohibición legal ni una competencia ajena a la MML.",,Ley Orgánica de Municipalidades - Ley N.° 27972: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Ordenanza N.° 2537 - ROF de la MML: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Consulta y marco de gestión de residuos sólidos: https://www.minam.gob.pe/wp-content/uploads/2017/04/Decreto-Legislativo-N%C2%B0-1278.pdf
Se puede ejecutar,seguridad,Acción Popular,"La Municipalidad Metropolitana implementará un modelo de fiscalización preventiva basado en inteligencia territorial, identificando puntos críticos donde la informalidad, el abandono urbano y la falta de control facilitan la delincuencia.",implementará,Sin plazo definido,"La promesa se encuadra en la función municipal de fiscalización y control sobre materias de competencia local, y en seguridad ciudadana la Ley 27972 permite a las municipalidades provinciales establecer el sistema de seguridad ciudadana y crear el serenazgo municipal metropolitano (arts. 73 y 85, además de las funciones de fiscalización del art. 31). El ROF de la MML aprobado por Ordenanza 2537 y sus modificatorias organiza competencias vinculadas a fiscalización, seguridad ciudadana, catastro, ornato, comercio ambulatorio y transporte, lo que permite un modelo de fiscalización preventiva basado en inteligencia territorial sin requerir una nueva competencia. Además, la MML cuenta con el pliego 150101 y en el Proyecto de Presupuesto 2025 se registra una inversión per cápita de S/ 7.42, pero la promesa se centra en reorientar y articular funciones ya existentes, no en crear un gasto nuevo indispensable.","No identifica un obstáculo de competencia, porque la fiscalización preventiva y el uso de inteligencia territorial pueden ejecutarse dentro de funciones municipales ya existentes; el límite sería operativo y de priorización interna del gasto del pliego 150101.",,Ley Orgánica de Municipalidades - Ley N.° 27972: https://www2.congreso.gob.pe/sicr/cendocbib/con5_uibd.nsf/43FAD2D6E0831D0E052586F3003D4E09/$FILE/27972.pdf | Ordenanza N.° 2537 de la Municipalidad Metropolitana de Lima: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Municipalidad Metropolitana de Lima - Transparencia: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D | Consulta Amigable MEF - Pliego 150101: https://apps5.mineco.gob.pe/transparencia/Navegador/default.aspx
Se puede ejecutar,seguridad,Ahora Nación,"La Municipalidad Metropolitana implementará un modelo de fiscalización preventiva basado en inteligencia territorial, identificando puntos críticos donde la informalidad, el abandono urbano y la falta de control facilitan la delincuencia.",implementará,Sin plazo definido,"La propuesta se encuadra en la competencia municipal de fiscalización y seguridad ciudadana: la Ley 27972 permite a las municipalidades provinciales establecer un sistema de seguridad ciudadana, normar serenazgo y dictar normas para brindar ese servicio; además, faculta la fiscalización y control de materias de su competencia. El ROF de la MML aprobado por Ordenanza 2537 y modificatorias organiza funciones vinculadas a fiscalización, seguridad ciudadana y gestión territorial, por lo que un modelo de fiscalización preventiva con enfoque territorial puede implementarse con la estructura vigente. No se identifica en lo consultado una exigencia de nueva ordenanza ni de nuevo presupuesto para iniciar el modelo; en el pliego 150101 la MML sí cuenta con funciones operativas propias en fiscalización, serenazgo, catastro, ornato y control urbano, que son el soporte material de la medida.","La promesa no debe extenderse a control policial ni a intervención sobre delincuencia en sentido penal, porque eso corresponde a la PNP y al gobierno nacional; además, la eficacia del modelo depende de coordinación intergerencial y de capacidad operativa ya existente en el pliego 150101.","Si se busca ampliar cobertura, metas o tecnología de inteligencia territorial, podría requerir ajuste del PIA/PIM o programación en el siguiente ejercicio; si solo se activa con recursos y funciones ya existentes, no requiere habilitación adicional.",Ley Orgánica de Municipalidades - Ley 27972: https://jurispol.pe/ley-organica-de-municipalidades-ley-27972/ | Ley Orgánica de Municipalidades - texto referencial: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | ROF de la Municipalidad Metropolitana de Lima - Ordenanza 2537: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D | Ordenanza N.° 2537: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1
Se puede ejecutar,seguridad,Alianza Electoral Venceremos,"Rutas seguras para mujeres: paraderos, corredores y espacios con iluminación y monitoreo priorizado.",Rutas seguras para mujeres,Sin plazo definido,"La MML sí tiene competencia directa para ejecutar medidas sobre rutas seguras en el ámbito metropolitano: el artículo 81 de la Ley 27972 le atribuye planificar, regular y gestionar el transporte público, el tránsito urbano de peatones y vehículos, y organizar/mantener la red vial metropolitana, señalización y semáforos; además, el artículo 85 le permite establecer y normar el sistema de seguridad ciudadana y serenazgo. El ROF aprobado por Ordenanza 2537 asigna funciones operativas a áreas metropolitanas vinculadas al tránsito, seguridad ciudadana y gestión de la vía pública, por lo que iluminación priorizada, monitoreo y mejora de paraderos/corredores pueden encuadrarse en competencias propias de la MML. El dato presupuestal no bloquea por sí solo la promesa, porque el pliego 150101 de la MML tiene capacidad de ejecutar acciones de mantenimiento, fiscalización y seguridad urbana dentro de su PIM; el obstáculo principal sería la coordinación con operadores o distritos, pero la medida puede implementarse con recursos y funciones ya existentes si se concentra en infraestructura y vigilancia municipal.","La MML no controla la PNP ni el alumbrado público en toda la ciudad como política nacional, y la intervención en corredores o paraderos puede requerir coordinación con concesionarios, distritos o entidades sectoriales para monitoreo integrado y obras en vía que no sean de su titularidad. Si la propuesta pretende expansión masiva de infraestructura nueva o cámaras/alumbrado fuera de la red metropolitana bajo su gestión, podría requerir programación presupuestal específica.","Si se quiere ampliar alcance o cobertura, el mecanismo habilitador sería reorientación o priorización dentro del PIM del pliego 150101 y convenios operativos con distritos/concesionarios; no se requiere una ordenanza nueva para la acción básica, pero sí para eventuales estándares o priorización formal de corredores específicos.",Ley Orgánica de Municipalidades - Ley N.° 27972: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | ROF de la Municipalidad Metropolitana de Lima - Ordenanza N.° 2537: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D | Pliego 150101 - Municipalidad Metropolitana de Lima: https://apps5.mineco.gob.pe/
Se puede ejecutar,seguridad,Avanza País,"La gestión impulsará un proceso de modernización mediante capacitación permanente, mejora de equipamiento, protocolos operativos y fortalecimiento de capacidades tácticas y preventivas.",impulsará,Sin plazo definido,"La promesa se ubica dentro de la competencia municipal metropolitana de seguridad ciudadana: el artículo 85 de la Ley 27972 faculta a las municipalidades provinciales a establecer un sistema de seguridad ciudadana, normar el serenazgo y, en Lima Metropolitana, crear y reglamentar el Serenazgo Municipal Metropolitano. La MML además cuenta con ROF aprobado por Ordenanza 2537 y modificatorias, que organiza sus órganos de seguridad ciudadana y permite ejecutar capacitación, protocolos operativos y fortalecimiento de capacidades con su propia estructura vigente. En el pliego 150101 de la MML, la asignación presupuestal para seguridad ciudadana y serenazgo existe dentro del presupuesto institucional, por lo que la capacitación permanente y la mejora de equipamiento pueden implementarse con recursos ya programados sin requerir una nueva competencia ni una ordenanza habilitante adicional.","El límite es operativo y presupuestal: la promesa no asegura una meta cuantificable y la mejora de equipamiento puede requerir priorización interna del PIA/PIM si el crédito presupuestario específico fuera insuficiente. No involucra funciones ajenas a la MML ni depende de PNP, MININTER o gobiernos centrales para su ejecución como acción municipal propia.","Si se pretendiera ampliar alcance, cobertura o inversión en equipamiento, el mecanismo habilitador sería la reprogramación interna del PIA/PIM del pliego 150101 o su inclusión en el siguiente ejercicio presupuestal; no se advierte necesidad de ordenanza nueva para la capacitación, protocolos y fortalecimiento de capacidades ya comprendidos en la función municipal de seguridad ciudadana.",Ley Orgánica de Municipalidades - Ley N° 27972: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Ordenanza N° 2537 - ROF de la Municipalidad Metropolitana de Lima: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Portal de Transparencia MML: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D | Ley del Servicio de Serenazgo Municipal: https://busquedas.elperuano.pe/dispositivo/NL/1974970-6
Se puede ejecutar,seguridad,COALICION_TRANSFORMADORA_TIERRA_VERDE.pdf,"Estandarización y homologación de la Escuela de Serenazgo Metropolitano para la capacitación en DD.HH., primeros auxilios y técnicas de intervención no letales.",Estandarización y homologación,Sin plazo definido,"La promesa se enmarca en la competencia municipal de seguridad ciudadana de la MML: el artículo 85 de la Ley 27972 atribuye a las municipalidades provinciales establecer el sistema de seguridad ciudadana y normar los servicios de serenazgo, y el Serenazgo Municipal Metropolitano forma parte de esa función. La capacitación en DD.HH., primeros auxilios y técnicas de intervención no letales puede implementarse como mejora operativa interna del serenazgo sin invadir competencias de MINEDU, MINSA o PNP. En el pliego 150101 de la MML existe programación presupuestal para seguridad ciudadana/serenazgo, y el portal de transparencia de MUNLIMA mantiene vigente el ROF/TUO actualizado, lo que permite ejecutar estandarización de capacitación dentro de la estructura existente.","No se advierte obstáculo competencial directo; el límite práctico sería la disponibilidad de recursos del pliego 150101 para financiar contenidos, instructores, logística y equipamiento de capacitación.",,Ley Orgánica de Municipalidades - Ley N.° 27972: https://www.sat.gob.pe/TransparenciaV3/Portals/0/Docs/NormasOtrasEntidades/Ley_Organica_27972.pdf | Municipalidad Metropolitana de Lima - Transparencia / ROF: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D | Portal oficial MML: https://www.munlima.gob.pe
Se puede ejecutar,seguridad,Demócrata Verde,"Generar sinergias Interinstitucionales Municipalidad de Lima Metropolitana - PNP - Sociedad Civil - Entidades Públicas y privadas (Amigos por la Seguridad Ciudadana de Lima), para coadyuvar la seguridad ciudadana; al margen del Comité Regional de Seguridad Ciudadana de Lima Metropolitana.",Generar,Sin plazo definido,"La promesa encaja con las competencias de la Municipalidad Metropolitana de Lima porque el artículo 85 de la Ley 27972 le permite establecer un sistema de seguridad ciudadana con participación de la sociedad civil y de la Policía Nacional, y coordinar con municipalidades distritales y la PNP el servicio interdistrital de serenazgo y seguridad ciudadana. Además, la misma norma habilita a la provincia a crear, normar, dirigir y controlar el Sistema Metropolitano de Seguridad Ciudadana, por lo que la generación de sinergias interinstitucionales y con privados es una acción municipal propia, no una función ajena al gobierno local. En el ROF de la MML aprobado por Ordenanza 2537-2023, la entidad mantiene estructura orgánica vinculada a seguridad ciudadana y serenazgo, y el presupuesto del pliego 150101 existe para ese fin; la consulta del MEF identifica al pliego 150101 como la MML con financiamiento vigente para seguridad ciudadana en el presupuesto 2026.",,,Ley Orgánica de Municipalidades - Ley 27972: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Decreto Supremo / marco del serenazgo municipal: https://busquedas.elperuano.pe/dispositivo/NL/1974970-6 | Ordenanza N.° 2537-2023 - ROF de la MML: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | MEF - Presupuesto aprobado año 2026: https://www.mef.gob.pe/es/?option=com_content&language=es-ES&Itemid=101156&lang=es-ES&view=article&id=8622
Se puede ejecutar,seguridad,Fuerza Popular,"Promover la seguridad ciudadana como prioridad fundamental de la gestión municipal, fortaleciendo la articulación entre la Municipalidad Metropolitana, la Policía Nacional del Perú y los gobiernos distritales.",Promover,Sin plazo definido,"La promesa se encuadra en competencias propias de la Municipalidad Metropolitana de Lima: el artículo 85.1.1 de la Ley 27972 le atribuye establecer el sistema de seguridad ciudadana con participación de la sociedad civil y la PNP, y el mismo marco le permite normar y organizar serenazgo metropolitano; además, el ROF de la MML aprobado por Ordenanza 2537 desarrolla esas funciones en la estructura municipal. El enunciado promete promover la articulación entre MML, PNP y distritos, lo que coincide con una función ya existente de coordinación y conducción del sistema de seguridad ciudadana en la provincia. El presupuesto del pliego 150101 existe y la MML cuenta con programas y áreas operativas vinculadas a serenazgo y seguridad ciudadana, por lo que la acción puede ejecutarse sin crear una competencia nueva.","La promesa no asegura por sí sola mayor capacidad operativa ni metas verificables; la coordinación con la PNP no depende exclusivamente de la MML y la mejora del servicio puede encontrar límites presupuestales del pliego 150101, que tiene baja inversión per cápita.","No requiere ordenanza nueva para formular la articulación básica, pero su ampliación operativa depende de programación en el PIA/PIM, convenios interinstitucionales con la PNP y gobiernos distritales, y eventualmente reasignación o priorización presupuestal dentro del pliego 150101.",Ley N.° 27972 - Ley Orgánica de Municipalidades: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Ordenanza N.° 2537 - Reglamento de Organización y Funciones de la MML: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Municipalidad Metropolitana de Lima - Transparencia: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D | Consulta de presupuesto público - pliego 150101: https://apps5.mineco.gob.pe/
Se puede ejecutar,seguridad,Juntos por el Perú,"Fortalecer la seguridad ciudadana en la ejecución de obras civiles mediante la articulación con la PNP, serenazgo, videovigilancia y drones.",Fortalecer,2027 - 2030,"La promesa se ubica dentro de la competencia municipal provincial de seguridad ciudadana: el artículo 85.1.1 de la Ley 27972 faculta a la municipalidad provincial a establecer el sistema de seguridad ciudadana, con participación de la PNP, y a normar el serenazgo; además, el artículo 20.17 le permite aprobar y reglamentar el Sistema Metropolitano de Seguridad Ciudadana y crear el Serenazgo Municipal Metropolitano. El ROF de la MML aprobado por Ordenanza 2537 y sus modificatorias reconoce esa estructura funcional, por lo que la articulación con PNP, serenazgo, videovigilancia y drones puede ejecutarse con los órganos ya existentes si se orienta a seguridad en el ámbito de obras civiles. En el pliego 150101 de la MML existe presupuesto propio para seguridad ciudadana y fiscalización, y la propuesta no exige asumir funciones de la PNP ni ejecutar infraestructura nacional, sino coordinar y reforzar medios municipales de control.","La MML no puede dirigir operativamente a la PNP ni convertir la coordinación en potestad sobre una entidad del Ejecutivo; además, el uso intensivo de drones y ampliación de videovigilancia puede requerir cobertura presupuestal específica dentro del PIM vigente o reprogramaciones internas si no están ya previstas en la cadena funcional programática.",,Ley Orgánica de Municipalidades - Ley N.° 27972: https://www.leyes.congreso.gob.pe/Documentos/Leyes/27972.pdf | Ordenanza N.° 2537 - ROF de la Municipalidad Metropolitana de Lima: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Municipalidad Metropolitana de Lima - Transparencia: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D
Se puede ejecutar,seguridad,PARTIDO_PATRIOTICO_DEL_PERU,"La Municipalidad Metropolitana de Lima impulsará una política integral de seguridad basada en la prevención, la coordinación institucional, el fortalecimiento tecnológico y la recuperación progresiva de espacios públicos.",impulsará,Sin plazo definido,"La promesa es compatible con competencias municipales ya existentes: el artículo 85 de la Ley 27972 asigna a las municipalidades provinciales establecer un sistema de seguridad ciudadana con participación vecinal y de la PNP, coordinar el serenazgo interdistrital y organizar serenazgo metropolitano; además, la MML cuenta con funciones de fiscalización, control del comercio ambulatorio y recuperación de espacios públicos. El componente de prevención, coordinación institucional, fortalecimiento tecnológico y recuperación progresiva de espacios públicos puede ejecutarse como política de gestión del serenazgo y de seguridad ciudadana sin requerir una habilitación legal nueva. No se aprecia que el verbo 'impulsará' exija una reforma normativa previa ni un cambio de presupuesto específico, y la MML ya opera un marco orgánico para serenazgo metropolitano y seguridad ciudadana bajo su ROF.","La limitación principal es presupuestal y operativa: el pliego 150101 tiene una inversión per cápita de S/ 7.42, la menor del país, por lo que la ampliación tecnológica o el incremento de cobertura dependerán de reprogramación interna, eficiencia del gasto o priorización en el PIM. También depende de coordinación con la PNP y municipios distritales para acciones interdistritales, pero eso no elimina la competencia municipal.","Para escalar tecnología, patrullaje y recuperación de espacios públicos podría requerirse ajuste del PIA/PIM o programación en el siguiente ejercicio fiscal, sin que ello sea indispensable para iniciar la política. Si se busca una expansión material relevante, el mecanismo habilitador sería una reorientación presupuestal dentro del pliego 150101 y, de corresponder, una ordenanza o directiva interna que ordene prioridades de serenazgo y recuperación urbana.",Ley Orgánica de Municipalidades - Ley 27972: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Ley del Servicio de Serenazgo Municipal: https://busquedas.elperuano.pe/dispositivo/NL/1974970-6 | MML - Ordenanza 2537 ROF y organigrama: https://www.munlima.gob.pe/ | Consulta Amigable MEF - Pliego 150101: https://apps5.mineco.gob.pe/
Se puede ejecutar,seguridad,Partido Aprista Peruano,Pondremos a disposición de la ciudadanía un mapa metropolitano del delito de acceso público,Pondremos,Sin plazo definido,"La promesa es de competencia municipal metropolitana: la Ley 27972 asigna a las municipalidades provinciales establecer un sistema de seguridad ciudadana con participación de la PNP y normar el serenazgo, y además a Lima Metropolitana le corresponde crear, normar, dirigir y controlar su sistema metropolitano de seguridad ciudadana. El ROF de la MML, aprobado por Ordenanza 2537, organiza esa función dentro de su estructura, y el marco citado para serenazgo prevé la remisión de ocurrencias georreferenciadas para elaborar conjuntamente el mapa del delito. En el pliego 150101 la MML ya cuenta con presupuesto institucional para ejecutar funciones de seguridad ciudadana, por lo que publicar un mapa metropolitano del delito de acceso público puede hacerse con capacidades y funciones ya existentes, sin requerir una ley nueva ni esperar al siguiente ejercicio fiscal.","La fuente de datos final del mapa depende de información compartida y validada con la PNP/comisarías; la municipalidad no controla por sí sola toda la producción de datos delictivos. El resultado también requiere tratamiento de datos, georreferenciación y actualización operativa para evitar desfasaje entre ocurrencias registradas y publicación pública.",,Ley Orgánica de Municipalidades (Ley 27972): https://jurispol.pe/ley-organica-de-municipalidades-ley-27972/ | Ordenanza N.° 2537 - ROF de la MML: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Registro estandarizado de ocurrencias / mapa del delito: https://busquedas.elperuano.pe/dispositivo/NL/2277111-1 | Consulta Amigable MEF - Seguimiento de ejecución presupuestal: https://www.gob.pe/institucion/mef/tramites-y-servicios
Se puede ejecutar,seguridad,Partido Cívico Obras,"Recuperación de espacios públicos complejos, programas de prevención social y reforma del marco normativo local.",Recuperación,Largo Plazo (2 a 5 años),"La recuperación de espacios públicos complejos y la acción de serenazgo sí están dentro de la competencia municipal de la MML: el artículo 85 de la Ley 27972 faculta a las municipalidades provinciales a establecer el sistema de seguridad ciudadana, normar serenazgo y coordinar con la PNP, y el ROF de la MML aprobado por Ordenanza 2537 organiza esas funciones en su estructura. Además, la MML ya cuenta con órganos y servicios vinculados a seguridad ciudadana, fiscalización, recuperación urbana y gestión del centro histórico dentro del pliego 150101, por lo que el compromiso puede ejecutarse con competencias y programas existentes. La parte de ""prevención social"" es viable solo en la medida en que se limite a intervenciones municipales de prevención situacional, convivencia, educación ciudadana o articulación local; no puede asumir funciones de salud o educación básica, que no son competencia directa de la MML.","La fórmula es amplia y, si se interpreta como prevención social en sentido de política social integral, excede competencias municipales directas en educación básica, salud primaria y seguridad pública policial; además, la capacidad operativa depende del presupuesto del pliego 150101, que es el menor del país en inversión per cápita (S/ 7.42, según el contexto proporcionado).","Si el candidato pretende ampliar cobertura, metas o nuevos programas de prevención, requerirá ajuste del PIA/PIM, priorización presupuestal del pliego 150101 o una ordenanza metropolitana que precise el alcance y la implementación; para componentes de articulación social, también puede requerirse convenio interinstitucional con entidades competentes.",Ley Orgánica de Municipalidades - Ley N.° 27972: https://www.mef.gob.pe/es/normatividad/por-temas/descentralizacion/6838-ley-n-27972-1/file | Ordenanza N.° 2537 - ROF de la Municipalidad Metropolitana de Lima: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Transparencia de la Municipalidad Metropolitana de Lima: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D | Portal del Estado Peruano - Municipalidad Metropolitana de Lima: https://www.gob.pe/institucion/munlima
Se puede ejecutar,seguridad,Partido Morado,Ampliar la participación vecinal en materia de seguridad en la provincia empoderando a la comunidad organizada como el primer anillo de prevención.,Ampliar,Sin plazo definido,"La promesa se enmarca en la competencia municipal provincial de seguridad ciudadana: el artículo 73.2.2 y el artículo 85.1.1 de la Ley 27972 permiten a la municipalidad establecer un sistema de seguridad ciudadana con participación de la sociedad civil y de la PNP, y normar el serenazgo y la vigilancia ciudadana; además, la MML puede crear, normar, dirigir y controlar su Sistema Metropolitano de Seguridad Ciudadana. El componente de “participación vecinal” puede ejecutarse hoy mediante articulación con juntas vecinales, comités y mecanismos de participación ya previstos en el marco municipal, sin invadir funciones de la PNP. No requiere una nueva competencia ni la programación de una obra o servicio nacional, y encaja con el rol institucional de seguridad ciudadana de la MML, aunque su alcance real dependerá de la capacidad operativa del pliego 150101, cuyo presupuesto para inversión per cápita es bajo (S/ 7.42) pero no impide esta acción de gestión y organización.","El principal obstáculo es operativo y de escala: la MML no sustituye a la PNP y la promesa no garantiza por sí sola reducción del delito; además, el bajo margen presupuestal del pliego 150101 limita ampliaciones intensivas de serenazgo, tecnología o capacitación si no se priorizan dentro del PIM.",,Ley Orgánica de Municipalidades - Ley 27972: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Portal de Transparencia de la Municipalidad Metropolitana de Lima: https://www.transparencia.gob.pe/enlaces/pte_transparencia_enlaces.aspx?id_entidad=1434&id_tema=5&ver=D | Consulta de presupuesto público MEF - Pliego 150101: https://apps5.mineco.gob.pe/
Se puede ejecutar,seguridad,Podemos Peru,"Realizar simulacros focalizados y capacitaciones para inspectores municipales, instituciones de respuesta, mercados, colegios y barrios vulnerables, fortaleciendo una cultura de prevención que no se active recién cuando la emergencia ya tocó la puerta.",Realizar,Sin plazo definido,"La promesa encaja con la competencia municipal de prevención y seguridad ciudadana: la Ley 27972 asigna a las municipalidades la función de establecer sistemas de seguridad ciudadana y promover acciones de prevención, y el ROF de la MML atribuye a la Gerencia de Seguridad Ciudadana planificar y supervisar acciones de prevención, programar actividades de información y prevención y capacitar a los serenos. Además, el ROF de la MML fue aprobado por la Ordenanza 2537, que organiza esas funciones dentro de la estructura vigente, por lo que la actividad puede ejecutarse con los órganos existentes sin crear una nueva competencia. El propio marco de gestión de riesgos citado en documentos de la administración pública prevé simulacros y sensibilización focalizada en áreas de alto y muy alto riesgo, lo que es compatible con mercados, colegios y barrios vulnerables dentro del ámbito local metropolitano.","La promesa debe ejecutarse dentro del alcance municipal de seguridad y prevención; no puede sustituir funciones de la PNP, MINEDU o MINSA en instituciones o respuestas sectoriales, y si se busca ampliar cobertura, frecuencia o logística podría requerir programación presupuestal específica en el PIA/PIM del pliego 150101.",,Ley Orgánica de Municipalidades - Ley N.° 27972: https://www.mef.gob.pe/contenidos/presu_publ/capacita/programacion_formulacion_presupuestal2012/Anexos/ley27972.pdf | Ordenanza N.° 2537 - ROF de la Municipalidad Metropolitana de Lima: https://busquedas.elperuano.pe/dispositivo/NL/2170330-1 | Ordenanza N.° 2535 y ROF MML: https://busquedas.elperuano.pe/dispositivo/NL/2223921-1
