partido,candidato,frase,veredicto,justificacion,fuentes_consultadas
Alianza Unidad Nacional,Roberto Chiabra,Crear un Directorio tipo BCR con autonomía suficiente que administre los fondos de las instituciones públicas vinculadas... Este Directorio... se encargará de compras conjuntas... [separando financiamiento de prestación].,No está en sus manos,Crear un organismo con autonomía constitucional requiere reforma de la Constitución. La administración conjunta de fondos de MINSA y EsSalud debe observar el Art. 12 sobre intangibilidad de aportes privados.,Constitución Política del Perú: Artículo 12 (Intangibilidad de fondos de seguridad social) y Artículo 84 (Autonomía constitucional del BCR). Ley N.º 27056: Ley de Creación del Seguro Social de Salud (EsSalud).
Alianza Unidad Nacional,Roberto Chiabra,También se permitirá y promoverá que estos cursos [cultura cívica] sean impartidos por miembros de nuestra Policía Nacional en actividad..,Inviable,"La propuesta enfrenta el déficit de efectivos policiales para seguridad ciudadana y los requisitos de la Ley de Reforma Magisterial, que exige título pedagógico para la docencia en educación básica.",Decreto Legislativo N.º 1267: Ley de la Policía Nacional del Perú (Finalidad Fundamental). Ley N.º 29944: Ley de Reforma Magisterial (Requisitos para el ejercicio de la docencia). Informes del Ministerio del Interior (Mininter): Sobre déficit de personal policial para patrullaje.
Alianza Venceremos,Ronald Atencio Sotomayor,"Implementaremos la estrategia nacional 'Anemia Cero', con acciones sostenidas para la prevención, diagnóstico y tratamiento oportuno, priorizando la atención a niñas, niños, adolescentes y gestantes.",Factible,"La propuesta se enmarca en las competencias del Ministerio de Salud y utiliza líneas presupuestales existentes (Programa Articulado Nutricional). No requiere cambios legislativos, sino gestión logística y articulación intersectorial. La meta se orienta a optimizar intervenciones de prevención y tratamiento ya normadas para reducir la prevalencia actual.","Ley de Presupuesto del Sector Público (Programa Presupuestal 0001 - Programa Articulado Nutricional) y ENDES (INEI), que provee la línea base de anemia (aprox. 43% en niños de 6 a 35 meses) sobre la cual actuar."
Alianza Venceremos,Ronald Atencio Sotomayor,Duplicaremos las vacantes de la educación superior pública.,Engañosa,"Aumentar en 100% las vacantes implica duplicar aulas, laboratorios y docentes calificados en cinco años. Los proyectos de inversión en infraestructura universitaria requieren entre 3 a 5 años para su maduración en Invierte.pe. Asimismo, la Ley Universitaria exige docentes con posgrado, recurso humano cuya disponibilidad en el mercado actual es limitada para una expansión de esta magnitud.","SUNEDU - Informe Bienal sobre la Realidad Universitaria y MEF - Invierte.pe, que evidencian los tiempos de ejecución de proyectos universitarios y la escasez de docentes investigadores calificados para cubrir una expansión tan agresiva."
Alianza Venceremos,Ronald Atencio Sotomayor,Transformaremos la educación peruana en clave intercultural en busca de nuevos horizontes de sentido.,Sin sustento,"La formulación carece de indicadores medibles o metas físicas específicas (por ejemplo, porcentaje de escuelas EIB implementadas). Al no detallar modificaciones al Currículo Nacional, planes de capacitación docente o presupuesto asignado, la propuesta no presenta mecanismos técnicos de verificación o cumplimiento según el Reglamento de la Ley General de Educación.","Reglamento de la Ley General de Educación (D.S. N° 011-2012-ED), que exige que las políticas educativas tengan objetivos, metas e indicadores claros para ser consideradas instrumentos de gestión válidos."
Avanza País,José Williams Zapata,Culminar la implementación de las Redes Integradas de Salud (RIS) a nivel nacional como estrategia para una mejor cobertura hacia la población.,Factible,"La propuesta plantea ejecutar el mandato de la Ley N° 30885 (2018). Existen programas de inversión con financiamiento multilateral (BID/Banco Mundial) activos para la creación de RIS. La culminación de su implementación depende de la ejecución de gasto del MINSA y Gobiernos Regionales, siendo una meta administrativa que no requiere nuevas leyes.",Ley N° 30885 (Ley que establece la conformación y el funcionamiento de las Redes Integradas de Salud) y Portal de Consulta Amigable del MEF (donde se visualizan los proyectos de inversión del PCRIS ya activos con presupuesto).
Avanza País,José Williams Zapata,Reducir la anemia y desnutrición infantil [...] Meta: Anemia infantil < 15%.,Engañosa,"La meta plantea reducir la anemia de un 43% (ENDES 2023) a menos del 15% en cinco años, lo que implica una disminución de más de 5 puntos porcentuales por año. Históricamente, los programas nacionales han registrado reducciones anuales de 1 a 2 puntos. La velocidad de reducción propuesta supera la tendencia estadística observada, considerando que la anemia depende también de factores de saneamiento.","INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que establece la línea base en 43.1%, demostrando que la velocidad de reducción propuesta no tiene precedente histórico en la salud pública peruana."
Avanza País,José Williams Zapata,Incorporación a la currícula del desarrollo progresivo de competencias en Inteligencia Artificial y la Programación en Módulos para el desempeño más allá del uso de software básico.,Sin sustento,"La incorporación de IA en la currícula requiere condiciones de infraestructura digital previas. El Censo Educativo reporta que un porcentaje significativo de escuelas rurales carece de internet y equipamiento adecuado. Asimismo, la propuesta no detalla el plan de capacitación para docentes en estas tecnologías ni el presupuesto para el hardware requerido a escala nacional.","Censo Educativo 2023 (MINEDU), que reporta que una gran proporción de locales educativos públicos (especialmente rurales) carece de acceso a internet y equipamiento tecnológico funcional, condiciones sine qua non para la enseñanza de IA."
Cooperación Popular,Yonhy Lescano,La capacitación del magisterio nacional debe iniciarse en enero del 2027.,Factible,La propuesta respeta el ciclo presupuestal del Sector Público (inicia en enero). La capacitación docente es una función establecida en la Ley de Reforma Magisterial y cuenta con partidas anuales en el presupuesto del MINEDU. La planificación desde el inicio del año fiscal 2027 es administrativamente viable para la gestión entrante.,"Ley N° 29944 (Ley de Reforma Magisterial), artículos 12 y 13, que norman la formación en servicio como un derecho y deber, y el Presupuesto Institucional de Apertura (PIA) del MINEDU que anualmente contempla partidas para este fin."
Cooperación Popular,Yonhy Lescano,"Reconstrucción de 27,000 instituciones [...] En el 2028 a mitad del mandato se debe reconstruir todos los centros educativos en estado ruinoso en aulas y mobiliario.",Engañosa,"La intervención en 27,000 colegios en 2.5 años implicaría reconstruir casi el 50% de la infraestructura educativa nacional. La capacidad de ejecución histórica del PRONIED y gobiernos subnacionales bordea los S/ 3-4 mil millones anuales. Ejecutar este volumen de obras simultáneas excede la capacidad logística instalada y los tiempos de aprobación de expedientes técnicos.","MINEDU - Plan Nacional de Infraestructura Educativa (PNIE) al 2025 y el Censo Educativo (INEI/MINEDU), que evidencian la magnitud de la brecha y los tiempos promedio de maduración de proyectos de inversión (3 a 5 años por colegio)."
Cooperación Popular,Yonhy Lescano,Equipar suficientemente a centros de salud primario a partir del año 2027.,Sin sustento,"La propuesta utiliza el término ""suficientemente"", el cual no es cuantificable. No especifica metas físicas, tipos de equipamiento según categoría (I-1 a I-4) ni montos de inversión. Las Normas Técnicas de Salud exigen estándares rígidos de equipamiento que no son detallados en la promesa, dificultando su evaluación técnica.","Norma Técnica de Salud N° 113-MINSA/DGIEM-V.01 (Infraestructura y Equipamiento de los Establecimientos de Salud del Primer Nivel de Atención), que establece los estándares técnicos rígidos que el plan omite mencionar o cuantificar."
Fe en el Perú,Álvaro Paz de la Barra,Incentivos para el personal de salud en zonas rurales y de difícil acceso.,Factible,"La medida es viable mediante la aplicación del Decreto Legislativo N° 1153, que regula las compensaciones. El Ejecutivo, a través del MEF y MINSA, tiene la facultad de determinar los montos y asignar presupuesto para bonificaciones por zona alejada, siendo una acción de gestión administrativa y presupuestal.",Decreto Legislativo N° 1153 (Norma que regula la política integral de compensaciones y entregas económicas del personal de la salud al servicio del Estado).
Fe en el Perú,Álvaro Paz de la Barra,Garantizar aprendizajes fundamentales en todos los niveles.,Engañosa,"El término ""garantizar"" implica un cumplimiento del 100%. Los resultados históricos de la ECE muestran que la mejora de aprendizajes es progresiva y heterogénea. Asegurar el logro total en cinco años contrasta con la evidencia de brechas post-pandemia y los ritmos de mejora registrados por la Unidad de Medición de la Calidad (UMC).","Resultados Históricos de la Evaluación Censal de Estudiantes (ECE) y Evaluación Muestral (EM) de la Oficina de Medición de la Calidad de los Aprendizajes (UMC - MINEDU), que evidencian la lentitud de la progresión en los logros de aprendizaje."
Fe en el Perú,Álvaro Paz de la Barra,Programas de mejora de infraestructura educativa.,Sin sustento,"La propuesta no establece metas numéricas ni montos de inversión específicos frente a una brecha de infraestructura valorada en más de S/ 174 mil millones. Al no definir la modalidad de ejecución (Obra pública, G2G, APP) ni el alcance del programa, la propuesta carece de parámetros medibles de cumplimiento.","Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC) 2022-2025, que detalla la magnitud de la brecha de infraestructura educativa y la necesidad de priorización con montos de inversión concretos."
Frente de la Esperanza,Fernando Olivera,Construcción de hospitales nacionales en regiones estratégicas del país.,Factible,"La construcción de hospitales de nivel III es competencia del MINSA/PRONIS mediante el sistema Invierte.pe. Si se cuenta con expedientes técnicos y presupuesto, es posible iniciar y avanzar la construcción de hospitales estratégicos en un periodo de cinco años, siguiendo la programación multianual de inversiones.",Decreto Legislativo N° 1252 (Sistema Nacional de Programación Multianual y Gestión de Inversiones) y el Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC) que contempla carteras de proyectos hospitalarios.
Frente de la Esperanza,Fernando Olivera,Reducir a CERO la desnutrición crónica infantil (DCI) en niños menores de 5 años.,Engañosa,"La reducción a 0% de la DCI en cinco años contrasta con la línea base actual (aprox. 11.5%) y la persistencia de determinantes sociales como la falta de agua y saneamiento. Estadísticamente, ningún país mantiene una tasa absoluta de 0.0% debido a condiciones clínicas. Una reducción de 12 puntos porcentuales en un quinquenio supera los registros históricos de salud pública en Perú.","INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que muestra el estancamiento de la DCI en los últimos años y la complejidad de sus determinantes sociales."
Frente de la Esperanza,Fernando Olivera,"Ley que prohíbe los servicios públicos educativos y de salud, la atención de extranjeros ilegales, salvo situaciones de emergencia",Inviable,"La propuesta contraviene los Artículos 1, 2 y 7 de la Constitución y tratados internacionales ratificados por el Perú, que garantizan derechos fundamentales sin distinción de nacionalidad. El Tribunal Constitucional ha establecido que el acceso a salud básica y educación alcanza a los extranjeros, lo que hace la medida jurídicamente inviable.","Constitución Política del Perú (Artículos 1, 2 y 7) y Sentencia del Tribunal Constitucional Exp. N° 00021-2010-PI/TC, que reafirma que los extranjeros gozan de los derechos fundamentales."
Fuerza Popular,Keiko Fujimori,"Implementación de la interoperabilidad total de historias clínicas electrónicas, homologadas con el número de DNI, permitiendo trazabilidad y atención continua en cualquier establecimiento del país. [...] Meta al 2031: Integrar el 80% del sistema de salud (MINSA, EsSalud y Sanidades).",Factible,"La propuesta se sustenta en la Ley N° 30024 y el D.L. N° 1412. La meta del 80% es ejecutable mediante gestión administrativa, inversión en software y estandarización de datos entre MINSA y EsSalud. Es una competencia del Ejecutivo que requiere coordinación con la Secretaría de Gobierno Digital y asignación presupuestal.","Ley N° 30024 y su Reglamento, que ya establecen la obligatoriedad y los mecanismos técnicos para la interoperabilidad, validando que es un proceso en marcha que requiere decisión política para su culminación."
Fuerza Popular,Keiko Fujimori,"Reducir la anemia infantil al 20% mediante cobertura universal de vacunación, chequeos preventivos y servicios materno-infantiles reforzados.",Engañosa,Reducir la anemia del 43% al 20% implica una disminución de 23 puntos porcentuales en cinco años (4.6 puntos anuales). La evidencia de la última década muestra reducciones anuales promedio de 1 a 2 puntos. Alcanzar esta meta requiere cambios estructurales en acceso a agua y saneamiento que tienen plazos de ejecución prolongados.,"INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que demuestra el estancamiento de la anemia por encima del 40% en los últimos cinco años, haciendo estadísticamente improbable una reducción a menos de la mitad en un solo mandato sin cambios estructurales previos en saneamiento."
Fuerza Popular,Keiko Fujimori,"Construcción de 3,000 colegios durante el periodo de gestión.",Inviable,"La construcción de 3,000 colegios implica entregar 600 instituciones por año. Históricamente, la capacidad de ejecución del PRONIED y regiones es menor (entre 50 y 100 colegios integrales anuales). Además, el ciclo de inversión completo (perfil, expediente, obra) toma de 4 a 5 años. La meta física propuesta excede la capacidad operativa y presupuestal registrada del sector.",RONIED: Estadísticas de ejecución de obras terminadas y recepcionadas anualmente. Decreto Legislativo N.º 1252 (Invierte.pe): Ciclo de Inversiones y plazos normativos.
Integridad Democrática,Wolfgang Grozo,"Realización de un Censo Nacional de Infraestructura de Salud, de carácter obligatorio para todos los subsistemas: Ministerio de Salud, EsSalud, sanidades, gobiernos regionales, municipalidades y sector privado con función pública.",Factible,La realización de un censo es una medida de gestión administrativa viable bajo la rectoría del MINSA. No requiere reformas legales y permite diagnosticar el estado real de la infraestructura y equipamiento antes de invertir. Se ejecuta mediante asignación presupuestal y coordinación con el INEI.,Decreto Legislativo N° 1161 (Ley de Organización y Funciones del Ministerio de Salud) que le otorga rectoría para dictar normas y lineamientos técnicos para la adecuada ejecución y supervisión de las políticas nacionales y sectoriales de salud.
Integridad Democrática,Wolfgang Grozo,La meta estratégica será explícita: reducir la anemia infantil a menos del cinco por ciento en cinco años.,Engañosa,Bajar la anemia de un 43% a menos del 5% requiere una reducción de 38 puntos porcentuales en cinco años. Esto implica un ritmo de mejora sin precedentes en la estadística nacional. La meta es difícil de alcanzar considerando la persistencia de factores determinantes como la pobreza y la falta de servicios básicos.,"INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que demuestra la persistencia de la anemia por encima del 40% y la lentitud histórica de su reducción, haciendo inverosímil un descenso tan abrupto."
Integridad Democrática,Wolfgang Grozo,"En un periodo de cinco a siete años se logre conectar a Internet cien por ciento de instituciones educativas públicas, rehabilitar ochenta por ciento de locales, construir aproximadamente cuatro mil nuevos planteles plenamente equipados.",Inviable,"Rehabilitar el 80% de los 55,000 locales educativos implica intervenir más de 40,000 colegios. Esto requeriría ejecutar más de 6,000 obras por año. El presupuesto estimado en el plan cubre una fracción de la brecha real de infraestructura (S/ 164 mil millones). La meta física supera la capacidad de ejecución histórica del sistema de inversión pública.","Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC) 2022-2025, que cifra la brecha de infraestructura educativa en S/ 164 mil millones, y el Censo Educativo (MINEDU), que evidencia la magnitud física de locales que requieren intervención total o parcial."
Juntos por el Perú,Roberto Sánchez Palomino,"Implementar las Redes Integradas de Salud en todo el territorio nacional, como punto de partida para articular las acciones de los diferentes servicios de salud.""",Factible,"La propuesta plantea el cumplimiento de la Ley N° 30885. Existen recursos asignados a través del programa PCRIS (endeudamiento externo). La implementación nacional depende de la capacidad de gestión del MINSA para ejecutar los fondos y organizar los servicios, siendo una meta viable administrativamente.","Ley N° 30885 y el Programa de Inversión ""Creación de Redes Integradas de Salud"" (CUI 2486127 en Consulta Amigable MEF), que valida la existencia de recursos y marco legal para su ejecución."
Juntos por el Perú,Roberto Sánchez Palomino,"Restituir el carácter público, universal, gratuito e intercultural del sistema educativo y fortalecer el rol del Estado... a través del incremento de la inversión educativa, llegando a un 6% del PBI..",Engañosa,"El presupuesto actual ronda el 4.1% del PBI. Alcanzar el 6% requiere un incremento de aprox. S/ 20,000 millones anuales. Dada la presión tributaria actual (~15-16% del PBI) y las reglas fiscales, este aumento requeriría una reforma tributaria significativa o una reasignación mayor del gasto público que el plan debe detallar para ser viable.","Marco Macroeconómico Multianual (MMM) 2025-2028: Proyecciones de ingresos fiscales y presión tributaria del MEF. Acuerdo Nacional: Política de Estado 12 (que establece la meta del 6%, incumplida sistemáticamente por falta de recursos)."
Juntos por el Perú,Roberto Sánchez Palomino,Analfabetismo Cero.,Inviable,"La tasa de analfabetismo es de aprox. 5.5%, concentrada en poblaciones vulnerables y adultos mayores (núcleo duro). La experiencia estadística indica que la reducción final es lenta debido a barreras cognitivas y geográficas. Una tasa de 0.0% absoluta es técnicamente difícil de alcanzar en cinco años según las tendencias demográficas.","INEI - Encuesta Nacional de Hogares (ENAHO), que muestra la evolución histórica de la tasa de analfabetismo, la cual se reduce a un ritmo menor al 0.5% anual en la última década, haciendo imposible llegar a cero en 2031."
Libertad Popular,Rafael Belaunde Llosa,Incremento del porcentaje de estudiantes de primaria que alcanzan un nivel satisfactorio en comprensión lectora (línea base 33%) para el 2031 un porcentaje de 40%.,Factible,"La propuesta plantea un incremento de 7 puntos porcentuales en cinco años (1.4% anual). Esta meta es coherente con los ritmos históricos de mejora registrados por la UMC-MINEDU y es ejecutable mediante los programas presupuestales vigentes, sin requerir recursos extraordinarios fuera del marco sectorial.","Resultados Históricos de la Evaluación Censal de Estudiantes (ECE) - UMC/MINEDU, que validan que los crecimientos interanuales sostenibles en el sistema público peruano rondan el 1-2%."
Libertad Popular,Rafael Belaunde Llosa,Eliminar las compras por emergencia mediante planificación quinquenal.,Engañosa,"La Ley de Contrataciones del Estado contempla la ""Situación de Emergencia"" para responder a eventos imprevisibles (brotes epidémicos, desastres). Si bien la planificación mejora el abastecimiento regular, eliminar legalmente la causal de emergencia impediría la respuesta estatal ante crisis sanitarias agudas e imprevistas.","Ley N° 30225, Ley de Contrataciones del Estado (Art. 27), que establece la ""Situación de Emergencia"" como una causal válida y necesaria para contrataciones directas ante acontecimientos catastróficos o que afecten la defensa nacional."
Libertad Popular,Rafael Belaunde Llosa,Introducir progresivamente la enseñanza del chino mandarín en secundaria para fortalecer competencias globales y oportunidades futuras.,Inviable,La introducción masiva de un nuevo idioma enfrenta la restricción de la oferta docente. La Ley de Reforma Magisterial exige título pedagógico. Actualmente no existe una masa crítica de docentes titulados de chino mandarín en el mercado laboral peruano para cubrir la demanda de las escuelas secundarias públicas a nivel nacional.,"Ley N° 29944, Ley de Reforma Magisterial (Art. 11), que exige título profesional pedagógico o título profesional técnico para el ejercicio de la docencia, requisito que el mercado laboral actual no puede cubrir para esta especialidad."
Partido Aprista Peruano,Enrique Valderrama,"Implementar el uso de las tecnologías de la información: Telemedicina, inteligencia artificial, robótica, papel cero, entre otros.",Factible,"La propuesta se alinea con la Ley de Gobierno Digital y la Ley Marco de Telemedicina. El marco legal y la Red Nacional de Telesalud ya existen. La implementación progresiva depende de la ejecución de inversiones (IOARR) en equipamiento y conectividad, siendo una meta tecnológica viable para el Ejecutivo.","Decreto Legislativo N° 1412 (Aprueba la Ley de Gobierno Digital) y Ley N° 30024 (Crea el Registro Nacional de Historias Clínicas Electrónicas), que facultan y obligan al Ejecutivo a implementar estas tecnologías."
Partido Aprista Peruano,Enrique Valderrama,Mejorar en un 30% los resultados del sistema educativo en pruebas nacionales e internacionales (como PISA) y elevar en un 40% los niveles de comprensión lectora y desempeño académico en matemáticas y ciencias.,Engañosa,Un aumento del 30% en puntajes PISA implicaría alcanzar el promedio de la OCDE en cinco años. Los sistemas educativos registran mejoras marginales entre ciclos de evaluación. Un salto de esta magnitud no registra precedentes en la estadística educativa internacional ni se condice con la inercia de los resultados históricos nacionales.,"OCDE - Resultados PISA 2022 (Volume I), donde se evidencia que la variación promedio entre ciclos de evaluación es mínima, y la UMC - MINEDU, cuyos históricos muestran progresos lentos y estancamientos post-pandemia."
Partido Aprista Peruano,Enrique Valderrama,"Lograr que el 70% de las escuelas públicas obtengan o mantengan una acreditación y certificación vigente en los próximos 3 años, garantizando estándares de calidad educativa...",Inviable,"Acreditar 38,500 escuelas (70%) en tres años implica certificar más de 30 colegios diarios. El proceso del SINEACE es riguroso y de larga duración. Históricamente, el porcentaje de colegios públicos acreditados es bajo debido a brechas de infraestructura. La capacidad operativa para evaluar tal volumen en 36 meses excede los recursos disponibles.","Ley N° 28740 (Ley del SINEACE) y estadísticas del Padrón de Instituciones Acreditadas del SINEACE, que demuestran que el número de colegios públicos acreditados es marginal y el proceso es de larga maduración."
Partido Cívico Obras,Ricardo Belmont,Garantizar el abastecimiento del 90% de medicamentos esenciales e insumos.,Factible,"Es una meta de gestión logística competencia del CENARES y DIRESAS. Llegar al 90% es un estándar técnico alcanzable mediante la optimización de compras y distribución. No requiere inversión en infraestructura, sino eficiencia en el gasto corriente y la cadena de suministro.",Reglamento de Organización y Funciones (ROF) del MINSA: Competencias del CENARES. Digemid / Susalud: Reportes de disponibilidad de medicamentos (que validan que la brecha es cerrable con gestión).
Partido Cívico Obras,Ricardo Belmont,Aumentar la tasa de aprobación a un 80% en un plazo de 5 años [en matemáticas de evaluaciones estandarizadas en áreas rurales],Engañosa,La línea base actual en zonas rurales es baja (menos del 20-25%). Un incremento al 80% implica una mejora de más de 55 puntos porcentuales. Las reformas educativas suelen generar avances de 1 a 2 puntos anuales. La meta propuesta supera ampliamente las proyecciones pedagógicas basadas en la evidencia histórica de la ECE.,UMC - MINEDU (Evaluación Censal de Estudiantes - ECE): Histórico de resultados 2016-2022 (donde la mejora anual promedio nacional no supera el 2%). OCDE (Informe PISA): Tiempos de maduración de reformas educativas (10-15 años para cambios sistémicos).
